Product,Firm,Plan,Family,Profile,Weight,Phase1,Funded,P_pay,P_yr1,E_payout_100k,E_payout_if_paid,Avg_days
Alpha One 10%,Alpha Capital,One 10%,1-step,Aggressive,0.28,0.001,0.0,0.0,0.0,0.0,0.0,12.339
Alpha One 10%,Alpha Capital,One 10%,1-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.505
Alpha Pro 6%,Alpha Capital,Pro 6%,2-step,Pro,0.07,0.819,0.524,0.524,0.161,560.4147302031151,1069.493759929609,101.393
Alpha Pro 6%,Alpha Capital,Pro 6%,2-step,Semi-skilled,0.22,0.541,0.218,0.218,0.061,270.6218039377571,1241.3844217328306,97.183
Alpha Pro 6%,Alpha Capital,Pro 6%,2-step,Average,0.26,0.218,0.019,0.019,0.005,30.097426131303898,1584.0750595423106,62.023
Alpha Pro 6%,Alpha Capital,Pro 6%,2-step,Aggressive,0.28,0.012,0.0,0.0,0.0,0.0,0.0,1.958
Alpha Pro 6%,Alpha Capital,Pro 6%,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.285
Alpha Pro 10%,Alpha Capital,Pro 10%,2-step,Pro,0.07,0.859,0.667,0.667,0.222,657.3504552491864,985.532916415572,126.333
Alpha Pro 10%,Alpha Capital,Pro 10%,2-step,Semi-skilled,0.22,0.563,0.299,0.299,0.093,328.10162668238524,1097.3298551250339,126.328
Alpha Pro 10%,Alpha Capital,Pro 10%,2-step,Average,0.26,0.123,0.022,0.022,0.007,33.96482888613973,1543.8558584608968,68.396
Alpha Pro 10%,Alpha Capital,Pro 10%,2-step,Aggressive,0.28,0.012,0.0,0.0,0.0,0.0,0.0,1.913
Alpha Pro 10%,Alpha Capital,Pro 10%,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.325
Goat Instant,Goat Funded,Instant GOAT,instant,Pro,0.07,0.726,0.726,0.726,0.202,3308.177686034618,4556.718575805259,54.755
Goat Instant,Goat Funded,Instant GOAT,instant,Semi-skilled,0.22,0.442,0.442,0.442,0.138,2163.350416345761,4894.457955533397,59.687
Goat Instant,Goat Funded,Instant GOAT,instant,Average,0.26,0.07,0.07,0.07,0.018,532.1318679072111,7601.883827245876,53.184
Goat Instant,Goat Funded,Instant GOAT,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.142
Goat Instant,Goat Funded,Instant GOAT,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.138
Goat 2-Step,Goat Funded,2-Step Standard,2-step,Pro,0.07,0.891,0.689,0.689,0.217,714.6428233538668,1037.2174504410257,123.053
Goat 2-Step,Goat Funded,2-Step Standard,2-step,Semi-skilled,0.22,0.621,0.327,0.327,0.108,347.3834882251808,1062.3348263767,123.085
Goat 2-Step,Goat Funded,2-Step Standard,2-step,Average,0.26,0.184,0.034,0.034,0.008,42.87419520970431,1261.0057414618914,67.405
Goat 2-Step,Goat Funded,2-Step Standard,2-step,Aggressive,0.28,0.01,0.0,0.0,0.0,0.0,0.0,1.921
Goat 2-Step,Goat Funded,2-Step Standard,2-step,Lottery,0.17,0.001,0.0,0.0,0.0,0.0,0.0,1.331
Maven 2-Step,Maven,2-Step,2-step,Pro,0.07,0.871,0.666,0.666,0.201,671.8428092408178,1008.7729868480748,115.679
Maven 2-Step,Maven,2-Step,2-step,Semi-skilled,0.22,0.619,0.328,0.328,0.112,355.9050374158993,1085.0763335850588,116.5
Maven 2-Step,Maven,2-Step,2-step,Average,0.26,0.175,0.033,0.033,0.01,42.12539382294915,1276.5270855439137,72.971
Maven 2-Step,Maven,2-Step,2-step,Aggressive,0.28,0.011,0.0,0.0,0.0,0.0,0.0,2.452
Maven 2-Step,Maven,2-Step,2-step,Lottery,0.17,0.001,0.0,0.0,0.0,0.0,0.0,1.301
Maven 3-Step,Maven,3-Step,3-step,Pro,0.07,0.755,0.359,0.359,0.128,399.882986960989,1113.8801865208607,126.157
Maven 3-Step,Maven,3-Step,3-step,Semi-skilled,0.22,0.547,0.11,0.11,0.029,147.03067566113288,1336.6425060102988,106.494
Maven 3-Step,Maven,3-Step,3-step,Average,0.26,0.254,0.006,0.006,0.004,12.357732648693364,2059.622108115561,65.226
Maven 3-Step,Maven,3-Step,3-step,Aggressive,0.28,0.036,0.0,0.0,0.0,0.0,0.0,9.002
