Family,Firm,Plan,Size,BE,Street,Street_rank,Street_n,px_40,px_60,P_pay,rank_at_40,n_at_40,rank_at_60,n_at_60
instant,FundingPips,Zero,25000,207.25,150.0,3,9,345.42,518.13,0.15339,,,,
instant,Blue Guardian,Instant,25000,227.84,156.0,4,9,379.74,569.61,0.2206199999999999,,,,
instant,Goat Funded,Instant GOAT,25000,211.47,199.0,5,9,352.44,528.66,0.16626,,,,
instant,Verodus,Instant,25000,218.81,242.0,6,9,364.69,547.03,0.2207,9.0,9.0,9.0,9.0
instant,FXIFY,Instant Standard,25000,178.9,263.0,7,9,298.16,447.24,0.54162,,,,
instant,Instant Funding,Instant,25000,210.29,263.0,7,9,350.49,525.73,0.21449,,,,
instant,Hola Prime,Direct,25000,263.25,295.0,9,9,438.75,658.13,0.23775,,,,
instant,Alpha Capital,Instant,50000,345.02,154.0,1,9,575.04,862.56,0.12954,,,,
instant,FundingPips,Zero,50000,414.5,195.0,2,9,690.84,1036.26,0.15339,,,,
instant,Blue Guardian,Instant,50000,455.69,243.0,3,9,759.48,1139.22,0.2206199999999999,,,,
instant,FXIFY,Instant Lite,50000,339.87,249.0,4,9,566.45,849.68,0.15732,,,,
instant,Goat Funded,Instant GOAT,50000,422.93,319.0,5,9,704.89,1057.33,0.16626,,,,
instant,Verodus,Instant,50000,437.63,389.0,6,9,729.38,1094.07,0.2207,9.0,9.0,9.0,9.0
instant,FXIFY,Instant Standard,50000,357.79,423.0,7,9,596.32,894.48,0.54162,,,,
instant,Instant Funding,Instant,50000,420.59,423.0,7,9,700.98,1051.47,0.21449,,,,
instant,Hola Prime,Direct,50000,526.5,551.0,9,9,877.5,1316.26,0.23775,,,,
instant,Alpha Capital,Instant,100000,690.05,274.0,1,9,1150.08,1725.11,0.12954,,,,
instant,FXIFY,Instant Lite,100000,679.74,399.0,2,9,1132.91,1699.36,0.15732,,,,
instant,FundingPips,Zero,100000,829.01,444.0,3,9,1381.68,2072.52,0.15339,,,,
instant,Blue Guardian,Instant,100000,911.38,467.0,4,9,1518.97,2278.45,0.2206199999999999,,,,
instant,Goat Funded,Instant GOAT,100000,845.86,559.0,5,9,1409.77,2114.66,0.16626,,,,
instant,FXIFY,Instant Standard,100000,715.58,639.0,6,9,1192.64,1788.95,0.54162,,,,
instant,Instant Funding,Instant,100000,841.17,639.0,6,9,1401.96,2102.94,0.21449,,,,
instant,Verodus,Instant,100000,875.25,676.0,8,9,1458.76,2188.13,0.2207,9.0,9.0,9.0,9.0
instant,Hola Prime,Direct,100000,1053.01,839.0,9,9,1755.01,2632.51,0.23775,,,,
instant,Alpha Capital,Instant,200000,1380.09,538.0,1,2,2300.15,3450.23,0.12954,,,,
instant,FundingPips,Zero,200000,1658.01,710.0,2,2,2763.36,4145.03,0.15339,,,,
