Firm,Plan,Family,Size,List,Sale,Discount,Off,P_pay,E_payout,E_cost,BE,px_20,px_40,px_60,sale_m,list_m,Refund,Product
FXIFY,2-Step,2-step,50000,379.0,303.0,~20% typical,0.20052770448548818,0.08897000000000001,31.06480134671999,58.02271134671999,34.09854927578674,42.62318659473342,56.830915459644565,85.24637318946684,0.8085059031461387,0.8290648249426913,first,FXIFY 2-Step
FXIFY,2-Step,2-step,100000,499.0,399.0,~20% typical,0.2004008016032064,0.08897000000000001,62.12960269343998,97.62863269343998,68.19709855157348,85.24637318946684,113.66183091928913,170.49274637893367,0.7553167100415039,0.7865217781694589,first,FXIFY 2-Step
FXIFY,2-Step,2-step,200000,999.0,799.0,~20% typical,0.20020020020020024,0.08897000000000001,124.25920538687996,195.34623538687998,136.39419710314695,170.49274637893367,227.32366183857826,340.98549275786735,0.7555115952604757,0.7866464110241441,first,FXIFY 2-Step
FXIFY,Instant Lite,instant,2500,19.0,19.0,—,0.0,0.15732,16.99358948922767,16.99358948922767,16.99358948922767,21.241986861534585,28.322649148712784,42.48397372306917,0.10560055319854368,0.10560055319854368,none,FXIFY Instant Lite
FXIFY,Instant Lite,instant,5000,39.0,39.0,—,0.0,0.15732,33.98717897845534,33.98717897845534,33.98717897845534,42.48397372306917,56.64529829742557,84.96794744613834,0.128533872347299,0.128533872347299,none,FXIFY Instant Lite
FXIFY,Instant Lite,instant,10000,79.0,79.0,—,0.0,0.15732,67.97435795691068,67.97435795691068,67.97435795691068,84.96794744613834,113.29059659485114,169.93589489227668,0.13956508915302937,0.13956508915302937,none,FXIFY Instant Lite
FXIFY,Instant Lite,instant,25000,149.0,149.0,—,0.0,0.15732,169.93589489227668,169.93589489227668,169.93589489227668,212.41986861534585,283.2264914871278,424.8397372306917,-0.14050936169313208,-0.14050936169313208,none,FXIFY Instant Lite
FXIFY,Instant Lite,instant,50000,249.0,249.0,—,0.0,0.15732,339.87178978455336,339.87178978455336,339.87178978455336,424.8397372306917,566.4529829742556,849.6794744613834,-0.3649469469259171,-0.3649469469259171,none,FXIFY Instant Lite
FXIFY,Instant Lite,instant,100000,399.0,399.0,—,0.0,0.15732,679.7435795691067,679.7435795691067,679.7435795691067,849.6794744613834,1132.9059659485113,1699.3589489227668,-0.7036179939075357,-0.7036179939075357,none,FXIFY Instant Lite
FXIFY,Instant Standard,instant,5000,109.0,87.0,~20% typical,0.2018348623853211,0.54162,35.77905611227208,35.77905611227208,35.77905611227208,44.723820140340095,59.631760187120136,89.44764028068019,0.588746481468137,0.6717517787864946,none,FXIFY Instant
