Plan,Size,Sale,List,BE,Rec_m,Chal_left,Combo,Keys,Sticker,Extra,Addon_left,Combined
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,News + 90% On Demand,"('news', 'od90')",165,17.189091546153477,68.61090845384653,176.46940693745734
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Weekend + weekly,"('weekend', 'weekly')",103,10.669091304509056,42.89090869549095,150.74940717910175
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Weekend + on-demand 80%,"('weekend', 'od80')",124,10.669091304509056,53.81090869549095,161.66940717910177
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Weekend + 90%,"('weekend', 'split90')",124,19.560000724933268,44.919999275066736,152.77849775867756
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Weekend + 90% On Demand,"('weekend', 'od90')",165,19.560000724933268,66.23999927506674,174.09849775867755
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Swing + weekly,"('swing', 'weekly')",144,13.040000483288846,61.83999951671116,169.698498000322
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Swing + on-demand 80%,"('swing', 'od80')",165,13.040000483288846,72.75999951671116,180.61849800032198
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Swing + 90%,"('swing', 'split90')",165,21.930909903713058,63.86909009628695,171.72758857989777
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Swing + 90% On Demand,"('swing', 'od90')",206,21.930909903713058,85.18909009628695,193.04758857989776
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Challenge only,(),0,0.0,0.0,13.769097886130027
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,News,"('news',)",50,3.0432396532335297,22.95676034676647,36.7258582328965
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Weekend,"('weekend',)",50,6.0864793064670595,19.91352069353294,33.68261857966297
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Swing,"('swing',)",83,9.12971895970059,34.030281040299414,47.79937892642944
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Weekly 80%,"('weekly',)",33,7.608099133083825,9.551900866916174,23.3209987530462
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,On-demand 80%,"('od80',)",50,7.608099133083825,18.391900866916174,32.1609987530462
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,90% split,"('split90',)",50,19.02024783270956,6.979752167290439,20.748850053420465
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,90% On Demand,"('od90',)",83,19.02024783270956,24.139752167290442,37.908850053420466
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,News + weekly,"('news', 'weekly')",83,10.651338786317355,32.50866121368265,46.27775909981268
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,News + on-demand 80%,"('news', 'od80')",100,10.651338786317355,41.34866121368265,55.11775909981267
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,News + 90%,"('news', 'split90')",100,22.063487485943092,29.936512514056908,43.705610400186934
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,News + 90% On Demand,"('news', 'od90')",133,22.063487485943092,47.09651251405692,60.865610400186945
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Weekend + weekly,"('weekend', 'weekly')",83,13.694578439550884,29.46542156044912,43.23451944657914
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Weekend + on-demand 80%,"('weekend', 'od80')",100,13.694578439550884,38.30542156044912,52.074519446579146
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Weekend + 90%,"('weekend', 'split90')",100,25.10672713917662,26.89327286082338,40.66237074695341
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Weekend + 90% On Demand,"('weekend', 'od90')",133,25.10672713917662,44.05327286082339,57.82237074695342
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Swing + weekly,"('swing', 'weekly')",116,16.737818092784416,43.58218190721559,57.35127979334562
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Swing + on-demand 80%,"('swing', 'od80')",133,16.737818092784416,52.422181907215595,66.19127979334561
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Swing + 90%,"('swing', 'split90')",133,28.14996679241015,41.010033207589856,54.77913109371988
2-Step Lite,100000,269,414,152.1619826616765,0.4343420718896785,13.769097886130027,Swing + 90% On Demand,"('swing', 'od90')",166,28.14996679241015,58.17003320758985,71.93913109371988
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Challenge only,(),0,0.0,0.0,32.910184692198044
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,News,"('news',)",53,3.0122576173809303,24.54774238261907,57.457927074817114
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Weekend,"('weekend',)",53,6.024515234761861,21.53548476523814,54.44566945743618
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Swing,"('swing',)",89,9.03677285214279,37.24322714785721,70.15341184005526
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,Weekly 80%,"('weekly',)",36,7.530644043452326,11.189355956547676,44.099540648745716
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,On-demand 80%,"('od80',)",53,7.530644043452326,20.029355956547676,52.93954064874572
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,90% split,"('split90',)",53,18.826610108630813,8.733389891369189,41.64357458356723
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,90% On Demand,"('od90',)",89,18.826610108630813,27.453389891369188,60.36357458356723
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,News + weekly,"('news', 'weekly')",89,10.542901660833255,35.73709833916675,68.6472830313648
2-Step Pro,100000,289,445,150.6128808690465,0.4788481630828841,32.910184692198044,News + on-demand 80%,"('news', 'od80')",106,10.542901660833255,44.57709833916675,77.4872830313648
